local,area,amb,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,sp13,sp14,sp15,sp16,sp17,sp18,sp19
Aberta,313.30,seco,1,0,0,0,0,0,0,0,0,0,50,0,0,10,0,0,0,0,0
Aberta,250.21,umido,2,0,0,0,0,0,0,0,0,0,50,0,0,0,1,0,0,0,0
Aberta,371.82,umido,19,0,0,0,0,0,0,0,0,0,50,0,0,10,0,0,0,0,0
Aberta,339.62,umido,0,0,12,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Aberta,323.31,seco,0,0,0,0,0,0,1,0,0,0,50,0,5,0,0,0,0,0,0
Aberta,70.82,umido,9,10,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Aberta,229.01,seco,12,0,1,0,0,0,0,0,0,0,0,50,1,0,0,1,0,0,0
Fechada,415.66,umido,0,23,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fechada,138.49,umido,0,0,20,7,0,0,0,0,0,0,50,0,0,10,0,0,1,0,0
Fechada,75.02,umido,3,0,0,0,0,0,0,0,0,0,0,50,0,10,0,0,0,1,0
Fechada,378.96,umido,0,2,50,0,1,3,1,0,0,0,50,0,0,0,0,0,0,0,0
Fechada,403.01,umido,3,0,0,0,0,0,10,0,0,0,50,0,0,0,0,1,0,1,0
Fechada,76.34,umido,21,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
Fechada,390.65,umido,0,8,3,5,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Fechada,214.43,umido,0,1,50,6,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0
Fechada,273.23,seco,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1
Fechada,179.95,seco,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
