,pop,perc.urban,"perc.c,veg",perc.s.migr,perc.veget,perc.esgoto
Águas de São Pedro,1697,100,18.39,36.69,0,93.43
Americana,153840,99.88,25.47,0.57,2,93.62
Amparo,50797,81.54,18.56,3.11,9,80.50
Analândia,3020,52.72,13.12,18.08,15,52.34
Artur Nogueira,28053,48.42,21.07,54.86,5,68.52
Atibaia,86336,86.58,24.24,24.86,12,35.97
Bom Jesus dos Perdões,9854,91.29,18.69,19.94,42,53.43
Bragança Paulista,108980,84.79,20.80,8.41,8,67.17
Campinas,847595,97.33,22.73,4.64,3,83.73
Capivari,34220,84.29,25.46,10.30,4,79.65
Charqueada,10735,80.80,21.46,-0.76,7,66.03
Cordeirópolis,13338,75.69,16.28,25.79,1,73.05
Corumbataí,3156,40.21,11.44,1.29,9,44.02
Cosmópolis,36684,89.42,24.87,32.96,8,64.03
Elias Fausto,11632,59.43,22.82,17.48,4,40.21
Ipeúna,2698,65.94,20.44,25.53,5,64.96
Iracemápolis,11752,89.87,22.14,22.20,2,90.45
Itatiba,61645,87.72,24.45,23.49,7,78.57
Itirapina,9953,75.47,18.69,24.41,14,54.36
Jaguariúna,24999,76.35,24.87,39.51,7,72.28
Jarinu,10878,50.18,20.31,55.11,15,17.73
Joanópolis,8186,87.45,17.62,-12.04,16,53.50
Limeira,207770,85.64,24.64,13.13,4,93.21
Louveira,16259,86.91,24.95,32.38,3,59.33
Mombuca,2597,49.02,12.87,-15.17,5,34.57
Monte Alegre do Sul,5439,50.56,15.95,-4.22,7,0.00
Monte Mor,25559,86.25,31.13,50.86,6,37.30 
Morungaba,8210,76.11,23.66,2.01,8,71.02
Nazaré Paulista,11671,35.66,20.75,17.67,40,24.56
Nova Odessa,34063,93.86,26.07,29.68,3,92.78
Paulínia,36706,89.65,27.38,48.98,2,81.37
Pedra Bela,5142,17.25,18.76,-9.08,11,10.98
Pedreira,27972,95.82,19.31,10.50,5,90.57
Pinhalzinho,8433,45.01,15.38,15.87,7,31.52
Piracaia,18999,100.00,24.82,14.05,17,53.80
Piracicaba,283833,95.11,21.96,10.40,5,89.13
Rafard,8588,76.29,27.83,17.20,5,79.94
Rio Claro,138243,96.02,18.16,6.58,5,92.81
Rio das Pedras,19104,87.33,29.66,11.97,1,85.37
Santa Bárbara d'Oeste,145266,97.19,26.28,63.38,2,94.44
Santa Gertrudes,10485,92.46,19.47,11.89,3,90.14 
Santa Maria da Serra,4303,80.55,32.29,19.76,7,77.02
Santo Antonio de Posse,14327,78.39,24.11,7.69,4,1.38
São Pedro,20176,77.62,20.20,31.92,9,74.73
Sumaré,226870,99.41,28.14,94.01,1,31.28
Valinhos,67886,88.25,20.71,18.01,5,76.80
Vinhedo,33612,98.18,25.72,29.41,7,77.49
