estado,população,pop_acima80,prop_pop_80,rede_agua,razao_sexual,densidade_populacional,pret_pardo,indigena,regiao
Amazonas,3941613,42437,1.07664045151059,66.08,1.00508340073557,2.53,73.7,7.74,Norte
Amapá,733759,7577,1.03262787918104,43.38,1.0129678806966,5.15,77.01,1.41,Norte
Pará,8120131,113392,1.39643067334751,48.90,1.00407348512876,6.52,79.66,0.85,Norte
Mato Grosso,3658649,49953,1.36534004765147,80.74,0.987056012765303,4.05,65.86,1.55,Centro Oeste
Mato Grosso do Sul,2757013,51895,1.88229072550619,87.20,1.03242352646303,7.72,53.4,3.48,Centro Oeste
Goiás,7056495,123799,1.75439789867349,84.54,1.03536633591399,20.74,63.36,0.15,Centro Oeste
São Paulo,44411238,1067356,2.40334664843164,95.74,1.07564299673926,178.92,40.9,0.11,Sudeste
Minas Gerais,20539989,546963,2.66291768705426,87.89,1.0507773338862,35.02,58.6,0.16,Sudeste
Rio de Janeiro,16055174,434086,2.70371407995952,84.72,1.11874671320689,366.97,57.8,0.01,Sudeste
Espirito Santo,3833712,87890,2.29255614401917,84.31,1.05004430332026,83.21,61,0.3,Sudeste
Paraná,11444380,249153,2.17707730781397,88.83,1.05193864469685,57.42,34.3,0.24,Sul
Santa Catarina,7610361,142755,1.87579800747954,84.36,1.02883285263028,79.5,23.2,0.25,Sul
Rio Grande do Sul,10882965,306818,2.81925008488036,86.64,1.07067743506114,38.63,21.2,0.31,Sul
Rio Grande do Norte,3302729,82003,2.48288612235518,84.94,1.06580404087663,62.54,60,0.28,Nordeste
Bahia,14141626,344905,2.43893453270508,83.12,1.06879397327496,25.04,79.7,0.59,Nordeste
Maranhão,6776699,125534,1.85243582458067,66.15,1.03539742471894,20.56,79,0.81,Nordeste
Ceará,8794957,215786,2.45351967042022,79.21,1.0655490336025,59.07,71.48,0.45,Nordeste
Distrito Federal,2817381,50043,1.77622408896773,93.37,1.0981608387338,489.06,59.4,0.196,Centro Oeste
