,lat,log,alt,vazao,odml,temp,larg,prof,veloc,cond,Acestrorhynchus_lacustris,Apareiodon_ibitiensis,Apareiodon_piracicabae,Aphyocharax_anisitsi,Aphyocharax_dentatus,Aphyocharax_sp,Astyanax_lacustris,Astyanax_biotae,Astyanax_bockmanni,Astyanax_fasciatus,Astyanax_paranae,Brachypopomus_pinnicaudatus,Brachypopomus_sp.,Piabarchus_stramineus,Callichthys_callichthys,Cetopsorhamdia_iheringi,Characidium_gomesi,Characidium_lagosantense,Characidium_laterale,Characidium_zebra,Cichlasoma_dimerus,Cichlasoma_paranaense,Corydoras_aeneus,Crenicichla_britskii,Curimatopsis_myersi,Cyphocharax_gillii,Cyphocharax_modestus,Cyphocharax_vanderi,Eigenmannia_trilineata,Eigenmannia_virescens,Farlowella_hahni,Galeocharax_knerii,Gymnorhamphichthys_britskii,Gymnotus_inaequilabiatus,Gymnotus_pantanal,Gymnotus_sylvius,Curculionichthys_insperatus,Hoplerythrinus_unitaeniatus,Hoplias_mbigua,H_malabaricus,Hoplosternum_littorale,Hyphessobrycon_anisitsi,Hyphessobrycon_eques,Hypostomus_ancistroides,Hypostomus_iheringii,Hypostomus_regani,Hypostomus_strigaticeps,Imparfinis_mirini,Imparfinis_schubarti,Knodus_moenkhausii,Leporinus_friderici,Leporinus_lacustris,Loricariichthys_platymetopon,Melanorivulus_apiamici,Melanorivulus_ivinhemensis,Moenkhausia_bonita,Moenkhausia_forestii,Moenkhausia_sanctaefilomenae,Odontostilbe_kriegi,Odontostilbe_avanhandavae,Oligosarcus_pintoi,Othothiropsis_marapoama,Othothiropsis_polyodon,Otothyropsis_sp.,Parodon_nasus,Phalloceros_harpagos,Phenacorhmadia_tenebrosa,Piabina_argentea,Pimelodella_avanhandavae,Pimelodella_gracilis,Pimelodus_maculatus,Poecilia_reticulata,Prochilodus_lineatus,Psellogrammus_kennedyi,Pseudopimelodus_mangurus,Pseudoplatystoma_corruscans,Pyrrhulina_australis,Pyxiloricaria_menezesi,Rhamdia_quelen,Rhamphichthys_hahni,Rineloricaria_sp,Rineloricaria_lanceolata,Roeboides_descalvadensis,Roeboides_paranensis,Salminus_hilarii,Schizodon_borellii,Scoloplax_empousa,Serrapinus_calliurus,Serrapinnus_heterodon,S_nigrotaenia,Serrapinnus_notomelas,Serrapinnus_sp.,Serrasalmus_maculatus,Serrasalmus_marginatus,Steindachnerina_brevipinna,Steindachnerina_insculpta,Sternopygus_macrurus,Synbranchus_marmoratus,Trachelyopterus_galeatus,T_coriaceus,Trichomycterus_sp
IV1,-21.657333,-54.424944,282,1.52397590338,8.34,18.5,6.95,0.56,0.391566265,88.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
IV2,-21.56575,-54.485083,295,0.8190997589808,7.9,19.7,5.22,0.44,0.356626506,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV3,-21.539083,-54.557167,298,0.17915813905535,9.2,22.4,2.35,0.3577,0.21313253,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IV4,-22.04625,-55.308028,378,1.33435138666095,9.89,19.5,4.5,0.5033,0.589156627,52.8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV5,-21.479736,-54.350306,318,0.652467469752,9.55,19.7,4.2,0.42,0.369879518,90.1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV6,-21.574083,-54.227333,337,0.54886156643318,10.31,20.9,2.6,0.3157,0.668674699,106.9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV7,-21.774194,-53.943444,254,5.034621689544,8.95,20,10,0.6828,0.737349398,27.6,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
IV8,-22.208611,-54.825556,389,0.608590120257,7.49,16.2,1.05,0.508,1.140963855,76.9,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IV9,-22.153139,-54.939556,375,0.214655421512,7.31,17.7,0.98,0.4,0.547590361,91,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV10,-22.6125,-54.036028,290,0.7364168675325,7.72,21,3.3,0.315,0.708433735,20.6,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
