,Vitamina_A,Vitamina_B1,Vitamina_B2,Vitamina_B6,Vitamina_C,Acido_Folico
Damasco,0.2,0.06,0.05,0.06,5000,0.004
Maça,0.005,0.02,0.01,0.05,5000,0.003
Banana,0.008,0.04,0.03,0.36,10000,0.016
Amora,0.015,0.08,0.04,0.07,150000,0.008
Uva,0.005,0.03,0.01,0.08,3000,0.001
Kiwi,0.007,0.01,0.02,0.12,70000,0.023
Limão,0.001,0.06,0.02,0.04,40000,0.008
Manga,0.053,0.03,0.04,0.04,23000,0.023
Laranja,0.012,0.07,0.03,0.06,49000,0.018
Pêssego,0.016,0.01,0.02,0.02,7000,0.002
Abacaxi,0,0.07,0.02,0.09,25000,0.004
Morango,0.002,0.02,0.03,0.06,60000,0.065
